,AuthorCreatedDate,ReviewCreatedDate,Diff,ReviewsWritten,AuthorUrl,Url,plugin
0,2013-08-09,2022-09-01 19:59:00,3310 days 19:59:00,119,https://wordpress.org/support/users/momo-fr/,https://wordpress.org/support/topic/essential-309/,https://wordpress.org/plugins/gdpr-data-request-form/
1,2014-05-08,2021-08-03 09:17:00,2644 days 09:17:00,17,https://wordpress.org/support/users/webaxones/,https://wordpress.org/support/topic/essential-280/,https://wordpress.org/plugins/gdpr-data-request-form/
2,2020-05-18,2020-07-09 00:51:00,52 days 00:51:00,20,https://wordpress.org/support/users/guzmanldn/,https://wordpress.org/support/topic/gdpr-data-request-form-by-audrasjb/,https://wordpress.org/plugins/gdpr-data-request-form/
3,2015-11-17,2020-05-12 19:33:00,1638 days 19:33:00,11,https://wordpress.org/support/users/jawas/,https://wordpress.org/support/topic/best-plugin-i-love-option/,https://wordpress.org/plugins/gdpr-data-request-form/
4,2004-04-06,2019-09-04 13:37:00,5629 days 13:37:00,4,https://wordpress.org/support/users/wolly/,https://wordpress.org/support/topic/i-really-love-this-plugin-5/,https://wordpress.org/plugins/gdpr-data-request-form/
5,2015-04-15,2019-02-13 22:10:00,1400 days 22:10:00,18,https://wordpress.org/support/users/frank-noack/,https://wordpress.org/support/topic/good-job-1020/,https://wordpress.org/plugins/gdpr-data-request-form/
6,2004-11-12,2019-02-12 19:25:00,5205 days 19:25:00,20,https://wordpress.org/support/users/welswebmaster/,https://wordpress.org/support/topic/this-is-the-one-29/,https://wordpress.org/plugins/gdpr-data-request-form/
7,2015-03-15,2018-06-04 07:19:00,1177 days 07:19:00,7,https://wordpress.org/support/users/ppotier/,https://wordpress.org/support/topic/excellente-extension-tres-fonctionnelle-juste-un-defaut/,https://wordpress.org/plugins/gdpr-data-request-form/
8,,2018-05-31 14:33:00,,0,https://wordpress.org/support/topic/a-lifesaver-32/,https://wordpress.org/support/topic/a-lifesaver-32/,https://wordpress.org/plugins/gdpr-data-request-form/
9,2008-09-07,2018-05-30 07:24:00,3552 days 07:24:00,64,https://wordpress.org/support/users/aglekis/,https://wordpress.org/support/topic/a-must-have-for-gdpr-rgdp/,https://wordpress.org/plugins/gdpr-data-request-form/
10,2015-05-25,2018-05-26 07:14:00,1097 days 07:14:00,2,https://wordpress.org/support/users/deubeulyou/,https://wordpress.org/support/topic/merci-32/,https://wordpress.org/plugins/gdpr-data-request-form/
11,2018-03-24,2018-05-25 15:12:00,62 days 15:12:00,2,https://wordpress.org/support/users/antihero7/,https://wordpress.org/support/topic/great-plugin-18099/,https://wordpress.org/plugins/gdpr-data-request-form/
12,2015-02-03,2018-05-23 07:06:00,1205 days 07:06:00,8,https://wordpress.org/support/users/chaton666/,https://wordpress.org/support/topic/a-must-have-thank-you/,https://wordpress.org/plugins/gdpr-data-request-form/
13,2014-08-08,2018-05-18 12:07:00,1379 days 12:07:00,8,https://wordpress.org/support/users/daniel-w-1/,https://wordpress.org/support/topic/does-what-is-says-54/,https://wordpress.org/plugins/gdpr-data-request-form/
14,2022-04-22,2022-04-22 15:21:00,0 days 15:21:00,1,https://wordpress.org/support/users/jacobvich4/,https://wordpress.org/support/topic/automation-16/,https://wordpress.org/plugins/wp-autoupdates/
15,2020-08-19,2020-08-19 18:31:00,0 days 18:31:00,1,https://wordpress.org/support/users/domhom/,https://wordpress.org/support/topic/so-glad-to-have-this-in-core-now/,https://wordpress.org/plugins/wp-autoupdates/
16,2020-08-19,2020-08-19 07:11:00,0 days 07:11:00,2,https://wordpress.org/support/users/entrepreneurs2020/,https://wordpress.org/support/topic/artificial-intelligence-t/,https://wordpress.org/plugins/wp-autoupdates/
17,2020-06-18,2020-08-12 12:55:00,55 days 12:55:00,4,https://wordpress.org/support/users/dsouzamary00/,https://wordpress.org/support/topic/good-plugin-4513/,https://wordpress.org/plugins/wp-autoupdates/
18,2020-02-15,2020-08-06 00:59:00,173 days 00:59:00,3,https://wordpress.org/support/users/bart88/,https://wordpress.org/support/topic/really-good-idea-suggestion-for-improvement-and-question/,https://wordpress.org/plugins/wp-autoupdates/
19,2020-07-20,2020-07-27 12:31:00,7 days 12:31:00,2,https://wordpress.org/support/users/anaishapaul/,https://wordpress.org/support/topic/awesome-7967/,https://wordpress.org/plugins/wp-autoupdates/
20,2020-05-23,2020-07-02 18:08:00,40 days 18:08:00,6,https://wordpress.org/support/users/edwardsmithjr/,https://wordpress.org/support/topic/awesome-thanks-for-making-this/,https://wordpress.org/plugins/wp-autoupdates/
21,2015-11-10,2020-05-26 18:43:00,1659 days 18:43:00,2,https://wordpress.org/support/users/ddur/,https://wordpress.org/support/topic/great-idea-166/,https://wordpress.org/plugins/wp-autoupdates/
22,2012-07-05,2020-05-16 14:18:00,2872 days 14:18:00,13,https://wordpress.org/support/users/sourixx/,https://wordpress.org/support/topic/nice-work-guys-i-love-this-plugin/,https://wordpress.org/plugins/wp-autoupdates/
23,2019-04-19,2020-04-15 10:30:00,362 days 10:30:00,25,https://wordpress.org/support/users/kpdaa/,https://wordpress.org/support/topic/automatic-update-for-wordpress-plugin-and-theme/,https://wordpress.org/plugins/wp-autoupdates/
24,2017-06-06,2024-09-25 11:18:00,2668 days 11:18:00,10,https://wordpress.org/support/users/brightvesseldev/,https://wordpress.org/support/topic/great-support-team-187/,https://wordpress.org/plugins/wp-consent-api/
